[DEBUG] 2020-10-07 09:27:58.528 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-07 09:27:58.558 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-07 09:27:58.571 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-07 09:27:58.974 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-07 09:27:58.994 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-07 09:28:00.127 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-07 09:28:01.247 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-07 09:28:01.384 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-07 09:28:01.391 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-07 09:28:01.445 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-07 09:28:01.594 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5b84f14
[DEBUG] 2020-10-07 09:28:01.595 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@5b84f14
[DEBUG] 2020-10-07 09:28:01.595 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@5b84f14
[DEBUG] 2020-10-07 09:28:01.602 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@701bc94e
[DEBUG] 2020-10-07 09:28:01.603 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5918c260
[DEBUG] 2020-10-07 09:28:01.604 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5017e1
[DEBUG] 2020-10-07 09:28:01.610 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@244e619a
[DEBUG] 2020-10-07 09:28:01.612 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@244e619a
[DEBUG] 2020-10-07 09:28:01.612 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@244e619a
[DEBUG] 2020-10-07 09:28:01.618 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@719d35e8
[DEBUG] 2020-10-07 09:28:01.619 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@719d35e8
[DEBUG] 2020-10-07 09:28:01.620 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@719d35e8
[DEBUG] 2020-10-07 09:28:01.627 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@188b6035
[DEBUG] 2020-10-07 09:28:01.627 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@188b6035
