[DEBUG] 2020-11-29 12:04:25.357 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-11-29 12:04:25.366 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-11-29 12:04:25.373 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-11-29 12:04:25.486 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-11-29 12:04:25.489 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-11-29 12:04:25.777 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-11-29 12:04:26.167 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-11-29 12:04:26.197 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-11-29 12:04:26.204 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-11-29 12:04:26.264 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-11-29 12:04:26.312 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@35d60381
[DEBUG] 2020-11-29 12:04:26.315 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@35d60381
[DEBUG] 2020-11-29 12:04:26.315 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@35d60381
[DEBUG] 2020-11-29 12:04:26.315 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5d7d8613
[DEBUG] 2020-11-29 12:04:26.316 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@abad89c
[DEBUG] 2020-11-29 12:04:26.319 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@11dcd42c
[DEBUG] 2020-11-29 12:04:26.320 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7e64c1a9
[DEBUG] 2020-11-29 12:04:26.320 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7e64c1a9
[DEBUG] 2020-11-29 12:04:26.320 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7e64c1a9
[DEBUG] 2020-11-29 12:04:26.321 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@73894c5a
[DEBUG] 2020-11-29 12:04:26.321 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@73894c5a
[DEBUG] 2020-11-29 12:04:26.321 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@73894c5a
[DEBUG] 2020-11-29 12:04:26.322 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3c232051
[DEBUG] 2020-11-29 12:04:26.322 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3c232051
[DEBUG] 2020-11-29 12:04:26.322 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3c232051
[DEBUG] 2020-11-29 12:04:26.326 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@18dd5ed3
[DEBUG] 2020-11-29 12:04:26.327 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@18dd5ed3
[DEBUG] 2020-11-29 12:04:26.327 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@18dd5ed3
