[DEBUG] 2020-10-07 11:26:50.365 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-07 11:26:50.385 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-07 11:26:50.402 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-07 11:26:50.724 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-07 11:26:50.732 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-07 11:26:51.837 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-07 11:26:52.834 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-07 11:26:52.924 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-07 11:26:52.933 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-07 11:26:53.008 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-07 11:26:53.113 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1dc76fa1
[DEBUG] 2020-10-07 11:26:53.117 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1dc76fa1
[DEBUG] 2020-10-07 11:26:53.118 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1dc76fa1
[DEBUG] 2020-10-07 11:26:53.119 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4f3e7344
[DEBUG] 2020-10-07 11:26:53.120 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@228cea97
[DEBUG] 2020-10-07 11:26:53.121 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3db663d0
[DEBUG] 2020-10-07 11:26:53.122 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2cc03cd1
[DEBUG] 2020-10-07 11:26:53.123 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2cc03cd1
[DEBUG] 2020-10-07 11:26:53.123 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2cc03cd1
[DEBUG] 2020-10-07 11:26:53.129 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@21e20ad5
[DEBUG] 2020-10-07 11:26:53.129 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@21e20ad5
[DEBUG] 2020-10-07 11:26:53.134 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@21e20ad5
[DEBUG] 2020-10-07 11:26:53.137 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2650f79
[DEBUG] 2020-10-07 11:26:53.138 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2650f79
[DEBUG] 2020-10-07 11:26:53.140 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2650f79
[DEBUG] 2020-10-07 11:26:53.146 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7a0f244f
[DEBUG] 2020-10-07 11:26:53.146 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7a0f244f
[DEBUG] 2020-10-07 11:26:53.146 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7a0f244f
[DEBUG] 2020-10-07 11:26:53.148 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@27a2a089
[DEBUG] 2020-10-07 11:26:53.148 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@27a2a089
[DEBUG] 2020-10-07 11:26:53.148 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@27a2a089
[DEBUG] 2020-10-07 11:26:53.154 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5ac6c4f2
[DEBUG] 2020-10-07 11:26:53.160 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5ac6c4f2
[DEBUG] 2020-10-07 11:26:53.160 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5ac6c4f2
[DEBUG] 2020-10-07 11:26:53.162 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@78525ef9
[DEBUG] 2020-10-07 11:26:53.162 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@78525ef9
