[DEBUG] 2020-12-04 11:14:19.053 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@60c35195
[DEBUG] 2020-12-04 11:14:19.081 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@380e57cb
[DEBUG] 2020-12-04 11:14:19.081 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@380e57cb
[DEBUG] 2020-12-04 11:14:19.114 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4622726f
[DEBUG] 2020-12-04 11:14:19.115 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4622726f
[DEBUG] 2020-12-04 11:14:19.118 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@387574d2
[DEBUG] 2020-12-04 11:14:19.135 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@387574d2
[DEBUG] 2020-12-04 11:14:19.146 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@775d9eb3
[DEBUG] 2020-12-04 11:14:19.153 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7f187501
[DEBUG] 2020-12-04 11:14:19.158 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@ab38b62
[DEBUG] 2020-12-04 11:14:19.158 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@ab38b62
[DEBUG] 2020-12-04 11:14:19.162 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@55bd3868
[DEBUG] 2020-12-04 11:14:19.162 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@55bd3868
[DEBUG] 2020-12-04 11:14:19.221 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6047d6f2
[DEBUG] 2020-12-04 11:14:19.222 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6047d6f2
[DEBUG] 2020-12-04 11:14:19.237 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@47ee6c0e
