[DEBUG] 2020-12-04 11:58:56.605 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-04 11:58:56.651 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-04 11:58:56.698 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-04 11:58:58.013 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-04 11:58:58.043 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-04 11:59:00.833 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-04 11:59:05.103 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-04 11:59:05.420 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-04 11:59:05.439 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-04 11:59:05.973 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-04 11:59:06.415 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2e5e6fc4
[DEBUG] 2020-12-04 11:59:06.418 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2e5e6fc4
[DEBUG] 2020-12-04 11:59:06.420 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2e5e6fc4
[DEBUG] 2020-12-04 11:59:06.422 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@68ab6ab0
[DEBUG] 2020-12-04 11:59:06.431 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6eb089e6
[DEBUG] 2020-12-04 11:59:06.445 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@602f8f94
[DEBUG] 2020-12-04 11:59:06.448 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@12f279b5
[DEBUG] 2020-12-04 11:59:06.448 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@12f279b5
[DEBUG] 2020-12-04 11:59:06.459 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@12f279b5
[DEBUG] 2020-12-04 11:59:06.461 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@799f916e
[DEBUG] 2020-12-04 11:59:06.461 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@799f916e
[DEBUG] 2020-12-04 11:59:06.461 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@799f916e
[DEBUG] 2020-12-04 11:59:06.470 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@11c713b7
[DEBUG] 2020-12-04 11:59:06.480 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@11c713b7
